Experiment Schelling Experiment
Original vs Variant.
Experiment started 2014-04-09 094548

######################################################
Experiment Defaults:
                           setNumOfRaces :,  	2
Experiment Parameter Variations:
                           setAgentClass :,  	['ORIGINAL', 'VARIANT']
######################################################
*********************Job Settings*********************
                           setAgentClass :	,ORIGINAL
 job ID, setAgentClass, runtime, pct happy, pct same
 1,             ORIGINAL,14,98.79,85.81
 1,             ORIGINAL,15,99.15,86.74
 1,             ORIGINAL,13,99.80,86.39
 1,             ORIGINAL, 8,98.54,86.38
 1,             ORIGINAL,14,99.31,84.90
 1,             ORIGINAL,13,99.76,85.62
 1,             ORIGINAL,12,99.07,86.62
 1,             ORIGINAL,15,99.72,87.22
 1,             ORIGINAL,17,98.63,85.88
 1,             ORIGINAL,15,99.80,86.66
 1,             ORIGINAL,12,98.38,84.66
 1,             ORIGINAL,12,99.72,86.68
 1,             ORIGINAL,10,99.43,85.85
 1,             ORIGINAL,11,99.43,84.61
 1,             ORIGINAL,12,99.64,85.65
 1,             ORIGINAL,16,99.64,84.87
 1,             ORIGINAL,15,100.00,86.08
 1,             ORIGINAL,15,99.51,86.68
 1,             ORIGINAL,10,97.90,85.76
 1,             ORIGINAL,14,99.64,86.23
averages: ,             ORIGINAL,13,99.29,85.96
standard deviations: ,             ORIGINAL, 2,0.55,0.73
*********************Job Settings*********************
                           setAgentClass :	,VARIANT
 job ID, setAgentClass, runtime, pct happy, pct same
 2,              VARIANT,14,99.92,87.31
 2,              VARIANT,11,100.00,85.79
 2,              VARIANT,12,99.84,85.62
 2,              VARIANT,12,99.60,85.83
 2,              VARIANT,10,99.60,85.30
 2,              VARIANT, 9,98.22,83.13
 2,              VARIANT,12,99.47,85.66
 2,              VARIANT,13,99.72,87.78
 2,              VARIANT,11,99.68,87.57
 2,              VARIANT,10,99.68,83.69
 2,              VARIANT,12,99.47,86.51
 2,              VARIANT,12,99.88,85.40
 2,              VARIANT, 9,98.42,85.43
 2,              VARIANT, 9,98.14,85.82
 2,              VARIANT,11,99.68,85.91
 2,              VARIANT,12,99.31,85.43
 2,              VARIANT,15,99.51,86.22
 2,              VARIANT,11,99.60,85.19
 2,              VARIANT,14,99.56,86.26
 2,              VARIANT, 8,97.74,85.90
averages: ,              VARIANT,11,99.35,85.79
standard deviations: ,              VARIANT, 1,0.64,1.07
######################################################
EXPERIMENT SUMMARY:  JOB AVERAGES
######################################################

, setAgentClass, runtime, pct happy, pct same
 1,             ORIGINAL,13,99.29,85.96
 2,              VARIANT,11,99.35,85.79
######################################################
EXPERIMENT SUMMARY:  JOB STANDARD DEVIATIONS
######################################################

, setAgentClass, runtime, pct happy, pct same
 1,             ORIGINAL, 2,0.55,0.73
 2,              VARIANT, 1,0.64,1.07
######################################################
Experiment Completed 2014-04-09 094623
######################################################

