Experiment Schelling Stat Mech Experiment
Schelling Segregation Model with Statistical Mechanics of Opinion Diffusion.
Experiment started 2014-05-01 000720

######################################################
Experiment Defaults:
                           setNumOfRaces :,  	2
                    setSocialTemperature :,  	1.0
Experiment Parameter Variations:
                  setInitialOpinionSplit :,  	[0, 0.25, 0.5, 0.75, 1.0]
                          setSocialForce :,  	[-0.5, 0, 0.5]
######################################################
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0
                          setSocialForce :	,-0.5
 job ID, setInitialOpinionSplit, setSocialForce, runtime, pct happy, pct same, tolerance
 1,                    0,                 -0.5,55,90.82,81.86,0.00
 1,                    0,                 -0.5,59,90.66,80.12,0.00
 1,                    0,                 -0.5,57,90.50,78.36,0.00
 1,                    0,                 -0.5,55,90.34,80.15,0.00
 1,                    0,                 -0.5,53,90.70,79.76,0.00
 1,                    0,                 -0.5,51,91.23,81.06,0.00
 1,                    0,                 -0.5,53,89.94,80.51,0.00
 1,                    0,                 -0.5,54,90.86,78.97,0.00
 1,                    0,                 -0.5,54,91.23,82.02,0.00
 1,                    0,                 -0.5,57,91.19,81.12,0.00
 1,                    0,                 -0.5,50,90.62,79.72,0.00
 1,                    0,                 -0.5,57,89.45,77.47,0.00
 1,                    0,                 -0.5,50,90.46,80.28,0.00
 1,                    0,                 -0.5,56,89.57,80.68,0.00
 1,                    0,                 -0.5,52,90.86,81.44,0.00
 1,                    0,                 -0.5,51,90.58,79.59,0.00
 1,                    0,                 -0.5,53,90.66,81.40,0.00
 1,                    0,                 -0.5,54,90.95,79.09,0.00
 1,                    0,                 -0.5,62,90.78,80.33,0.00
 1,                    0,                 -0.5,52,90.74,78.26,0.00
averages: ,                    0,                 -0.5,54,90.61,80.11,0.00
standard deviations: ,                    0,                 -0.5, 3,0.47,1.20,0.00
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0
                          setSocialForce :	,0
 job ID, setInitialOpinionSplit, setSocialForce, runtime, pct happy, pct same, tolerance
 2,                    0,                    0,51,90.78,79.91,0.00
 2,                    0,                    0,52,89.73,77.27,0.00
 2,                    0,                    0,53,90.70,79.95,0.00
 2,                    0,                    0,61,90.82,78.65,0.00
 2,                    0,                    0,56,89.94,80.65,0.00
 2,                    0,                    0,86,91.27,80.02,0.00
 2,                    0,                    0,60,89.98,79.91,0.00
 2,                    0,                    0,50,90.58,79.34,0.00
 2,                    0,                    0,50,89.81,78.84,0.00
 2,                    0,                    0,51,90.18,77.79,0.00
 2,                    0,                    0,63,90.78,80.29,0.00
 2,                    0,                    0,55,90.91,80.45,0.00
 2,                    0,                    0,63,91.55,81.92,0.00
 2,                    0,                    0,70,91.55,80.71,0.00
 2,                    0,                    0,56,90.02,79.48,0.00
 2,                    0,                    0,88,90.99,82.99,0.00
 2,                    0,                    0,50,91.88,81.40,0.00
 2,                    0,                    0,58,90.14,79.77,0.00
 2,                    0,                    0,58,90.10,80.11,0.00
 2,                    0,                    0,65,89.98,80.01,0.00
averages: ,                    0,                    0,59,90.58,79.97,0.00
standard deviations: ,                    0,                    0,10,0.63,1.27,0.00
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0
                          setSocialForce :	,0.5
 job ID, setInitialOpinionSplit, setSocialForce, runtime, pct happy, pct same, tolerance
 3,                    0,                  0.5,50,90.99,79.42,0.00
 3,                    0,                  0.5,50,90.34,79.03,0.00
 3,                    0,                  0.5,50,90.66,80.36,0.00
 3,                    0,                  0.5,61,90.86,80.83,0.00
 3,                    0,                  0.5,64,90.74,79.20,0.00
 3,                    0,                  0.5,50,90.02,78.06,0.00
 3,                    0,                  0.5,62,91.19,80.22,0.00
 3,                    0,                  0.5,58,90.02,77.01,0.00
 3,                    0,                  0.5,56,91.31,81.68,0.00
 3,                    0,                  0.5,56,90.95,79.51,0.00
 3,                    0,                  0.5,53,91.23,79.39,0.00
 3,                    0,                  0.5,61,90.91,79.37,0.00
 3,                    0,                  0.5,50,89.94,76.80,0.00
 3,                    0,                  0.5,60,90.99,79.87,0.00
 3,                    0,                  0.5,50,89.98,78.57,0.00
 3,                    0,                  0.5,51,91.15,80.34,0.00
 3,                    0,                  0.5,54,90.99,81.49,0.00
 3,                    0,                  0.5,58,89.53,79.32,0.00
 3,                    0,                  0.5,58,90.50,79.31,0.00
 3,                    0,                  0.5,50,90.42,79.71,0.00
averages: ,                    0,                  0.5,55,90.63,79.48,0.00
standard deviations: ,                    0,                  0.5, 4,0.50,1.21,0.00
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0.25
                          setSocialForce :	,-0.5
 job ID, setInitialOpinionSplit, setSocialForce, runtime, pct happy, pct same, tolerance
 4,                 0.25,                 -0.5,59,91.71,76.06,0.07
 4,                 0.25,                 -0.5,54,91.35,76.00,0.06
 4,                 0.25,                 -0.5,53,92.00,77.54,0.08
 4,                 0.25,                 -0.5,58,91.39,74.93,0.07
 4,                 0.25,                 -0.5,57,90.78,77.67,0.07
 4,                 0.25,                 -0.5,55,91.67,74.71,0.07
 4,                 0.25,                 -0.5,56,91.71,75.73,0.07
 4,                 0.25,                 -0.5,50,91.15,74.35,0.08
 4,                 0.25,                 -0.5,68,90.30,76.38,0.08
