Experiment Schelling Stat Mech Experiment
Schelling Segregation Model with Statistical Mechanics of Opinion Diffusion.
Experiment started 2014-05-03 181206

######################################################
Experiment Defaults:
                           setNumOfRaces :,  	2
Experiment Parameter Variations:
                  setInitialOpinionSplit :,  	[0, 0.5, 1.0]
                          setSocialForce :,  	[-0.5, 0.5]
                    setSocialTemperature :,  	[0.01, 0.1, 1.0]
######################################################
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0
                          setSocialForce :	,-0.5
                    setSocialTemperature :	,0.01
 timestamp, job ID, setInitialOpinionSplit, setSocialForce, setSocialTemperature, runtime, pct happy, pct same, tolerance
 2014-05-03 181206, 1,                    0,                 -0.5,                 0.01,59,90.91,79.74,0.00
 2014-05-03 181218, 1,                    0,                 -0.5,                 0.01,53,89.41,78.27,0.00
 2014-05-03 181230, 1,                    0,                 -0.5,                 0.01,61,90.62,79.33,0.00
 2014-05-03 181243, 1,                    0,                 -0.5,                 0.01,51,91.03,82.02,0.00
 2014-05-03 181254, 1,                    0,                 -0.5,                 0.01,54,91.67,81.82,0.00
 2014-05-03 181306, 1,                    0,                 -0.5,                 0.01,69,90.82,80.18,0.00
 2014-05-03 181320, 1,                    0,                 -0.5,                 0.01,50,90.22,79.71,0.00
 2014-05-03 181331, 1,                    0,                 -0.5,                 0.01,54,90.74,80.28,0.00
 2014-05-03 181343, 1,                    0,                 -0.5,                 0.01,50,90.38,80.71,0.00
 2014-05-03 181355, 1,                    0,                 -0.5,                 0.01,65,90.74,80.60,0.00
 2014-05-03 181408, 1,                    0,                 -0.5,                 0.01,55,91.15,78.09,0.00
 2014-05-03 181420, 1,                    0,                 -0.5,                 0.01,54,91.03,79.13,0.00
 2014-05-03 181432, 1,                    0,                 -0.5,                 0.01,61,90.18,80.15,0.00
 2014-05-03 181445, 1,                    0,                 -0.5,                 0.01,61,91.31,81.25,0.00
 2014-05-03 181457, 1,                    0,                 -0.5,                 0.01,50,91.27,79.39,0.00
 2014-05-03 181509, 1,                    0,                 -0.5,                 0.01,52,91.71,81.24,0.00
 2014-05-03 181520, 1,                    0,                 -0.5,                 0.01,51,90.74,80.21,0.00
 2014-05-03 181532, 1,                    0,                 -0.5,                 0.01,58,90.74,79.04,0.00
 2014-05-03 181544, 1,                    0,                 -0.5,                 0.01,53,90.95,79.17,0.00
 2014-05-03 181556, 1,                    0,                 -0.5,                 0.01,58,91.43,81.37,0.00
averages: ,                    0,                 -0.5,                 0.01,55,90.85,80.09,0.00
standard deviations: ,                    0,                 -0.5,                 0.01, 5,0.53,1.08,0.00
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0
                          setSocialForce :	,-0.5
                    setSocialTemperature :	,0.1
 timestamp, job ID, setInitialOpinionSplit, setSocialForce, setSocialTemperature, runtime, pct happy, pct same, tolerance
 2014-05-03 181608, 2,                    0,                 -0.5,                  0.1,50,90.86,79.49,0.00
 2014-05-03 181619, 2,                    0,                 -0.5,                  0.1,82,90.82,80.58,0.00
 2014-05-03 181635, 2,                    0,                 -0.5,                  0.1,54,91.51,81.72,0.00
 2014-05-03 181647, 2,                    0,                 -0.5,                  0.1,55,91.35,79.56,0.00
 2014-05-03 181659, 2,                    0,                 -0.5,                  0.1,51,91.27,80.49,0.00
 2014-05-03 181710, 2,                    0,                 -0.5,                  0.1,50,91.63,80.53,0.00
 2014-05-03 181721, 2,                    0,                 -0.5,                  0.1,52,90.95,79.55,0.00
 2014-05-03 181733, 2,                    0,                 -0.5,                  0.1,67,90.86,81.51,0.00
 2014-05-03 181746, 2,                    0,                 -0.5,                  0.1,56,90.95,78.87,0.00
 2014-05-03 181758, 2,                    0,                 -0.5,                  0.1,63,91.88,81.35,0.00
 2014-05-03 181811, 2,                    0,                 -0.5,                  0.1,51,90.62,79.11,0.00
 2014-05-03 181822, 2,                    0,                 -0.5,                  0.1,51,90.66,79.98,0.00
 2014-05-03 181834, 2,                    0,                 -0.5,                  0.1,56,91.27,80.28,0.00
 2014-05-03 181846, 2,                    0,                 -0.5,                  0.1,53,90.06,79.11,0.00
 2014-05-03 181857, 2,                    0,                 -0.5,                  0.1,50,91.35,80.52,0.00
