Experiment Schelling Stat Mech Experiment
Running at end and mid points for history files.
Experiment started 2014-05-07 115952

######################################################
Experiment Defaults:
                           setNumOfRaces :,  	2
Experiment Parameter Variations:
                  setInitialOpinionSplit :,  	[0.25, 0.5, 0.75]
                          setSocialForce :,  	[-0.25, 0, 0.25]
                    setSocialTemperature :,  	[0.01, 0.1, 1.0]
######################################################
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0.25
                          setSocialForce :	,-0.25
                    setSocialTemperature :	,0.01
 timestamp, job ID, setInitialOpinionSplit, setSocialForce, setSocialTemperature, runtime, pct happy, pct same, tolerance
 2014-05-07 115952, 1,                 0.25,                -0.25,                 0.01,60,90.91,81.65,0.00
 2014-05-07 120003, 1,                 0.25,                -0.25,                 0.01,62,90.95,80.83,0.00
 2014-05-07 120015, 1,                 0.25,                -0.25,                 0.01,62,89.89,79.57,0.00
 2014-05-07 120026, 1,                 0.25,                -0.25,                 0.01,52,91.47,79.63,0.00
 2014-05-07 120037, 1,                 0.25,                -0.25,                 0.01,52,90.18,80.09,0.00
 2014-05-07 120047, 1,                 0.25,                -0.25,                 0.01,57,91.55,81.30,0.00
 2014-05-07 120058, 1,                 0.25,                -0.25,                 0.01,52,90.10,79.43,0.00
 2014-05-07 120108, 1,                 0.25,                -0.25,                 0.01,54,91.15,80.89,0.00
 2014-05-07 120119, 1,                 0.25,                -0.25,                 0.01,57,89.85,77.78,0.00
 2014-05-07 120130, 1,                 0.25,                -0.25,                 0.01,59,90.86,78.53,0.00
 2014-05-07 120141, 1,                 0.25,                -0.25,                 0.01,54,90.10,79.74,0.00
 2014-05-07 120152, 1,                 0.25,                -0.25,                 0.01,51,90.54,80.13,0.00
 2014-05-07 120202, 1,                 0.25,                -0.25,                 0.01,60,91.19,81.55,0.00
 2014-05-07 120213, 1,                 0.25,                -0.25,                 0.01,50,90.99,81.35,0.00
 2014-05-07 120223, 1,                 0.25,                -0.25,                 0.01,51,90.78,77.89,0.00
 2014-05-07 120234, 1,                 0.25,                -0.25,                 0.01,60,90.38,78.86,0.00
 2014-05-07 120245, 1,                 0.25,                -0.25,                 0.01,75,90.74,80.43,0.00
 2014-05-07 120258, 1,                 0.25,                -0.25,                 0.01,52,90.18,79.04,0.00
 2014-05-07 120308, 1,                 0.25,                -0.25,                 0.01,54,91.11,80.04,0.00
 2014-05-07 120319, 1,                 0.25,                -0.25,                 0.01,61,90.86,80.86,0.00
averages: ,                 0.25,                -0.25,                 0.01,56,90.69,79.98,0.00
standard deviations: ,                 0.25,                -0.25,                 0.01, 5,0.50,1.13,0.00
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0.25
                          setSocialForce :	,-0.25
                    setSocialTemperature :	,0.1
 timestamp, job ID, setInitialOpinionSplit, setSocialForce, setSocialTemperature, runtime, pct happy, pct same, tolerance
 2014-05-07 120330, 2,                 0.25,                -0.25,                  0.1,50,90.62,80.50,0.00
 2014-05-07 120340, 2,                 0.25,                -0.25,                  0.1,78,91.15,80.28,0.00
 2014-05-07 120354, 2,                 0.25,                -0.25,                  0.1,57,89.57,77.41,0.00
 2014-05-07 120405, 2,                 0.25,                -0.25,                  0.1,54,91.35,80.97,0.00
 2014-05-07 120415, 2,                 0.25,                -0.25,                  0.1,61,90.74,81.36,0.00
 2014-05-07 120427, 2,                 0.25,                -0.25,                  0.1,55,91.51,80.63,0.00
 2014-05-07 120438, 2,                 0.25,                -0.25,                  0.1,66,91.23,82.35,0.00
 2014-05-07 120450, 2,                 0.25,                -0.25,                  0.1,51,90.38,80.35,0.00
 2014-05-07 120500, 2,                 0.25,                -0.25,                  0.1,52,91.43,80.40,0.00
 2014-05-07 120510, 2,                 0.25,                -0.25,                  0.1,67,90.82,80.54,0.00
 2014-05-07 120522, 2,                 0.25,                -0.25,                  0.1,54,90.02,80.46,0.00
 2014-05-07 120533, 2,                 0.25,                -0.25,                  0.1,52,91.31,81.05,0.00
 2014-05-07 120543, 2,                 0.25,                -0.25,                  0.1,63,90.38,81.24,0.00
 2014-05-07 120555, 2,                 0.25,                -0.25,                  0.1,53,90.34,79.97,0.00
 2014-05-07 120606, 2,                 0.25,                -0.25,                  0.1,58,90.30,80.61,0.00
 2014-05-07 120617, 2,                 0.25,                -0.25,                  0.1,59,90.30,78.50,0.00
 2014-05-07 120628, 2,                 0.25,                -0.25,                  0.1,53,90.02,78.28,0.00
 2014-05-07 120638, 2,                 0.25,                -0.25,                  0.1,59,90.58,77.91,0.00
 2014-05-07 120649, 2,                 0.25,                -0.25,                  0.1,69,90.70,80.16,0.00
 2014-05-07 120702, 2,                 0.25,                -0.25,                  0.1,55,90.95,80.36,0.00
averages: ,                 0.25,                -0.25,                  0.1,58,90.69,80.17,0.00
standard deviations: ,                 0.25,                -0.25,                  0.1, 7,0.52,1.20,0.00
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0.25
                          setSocialForce :	,-0.25
                    setSocialTemperature :	,1.0
 timestamp, job ID, setInitialOpinionSplit, setSocialForce, setSocialTemperature, runtime, pct happy, pct same, tolerance
 2014-05-07 120713, 3,                 0.25,                -0.25,                  1.0,58,90.18,80.95,0.00
 2014-05-07 120724, 3,                 0.25,                -0.25,                  1.0,97,90.50,78.99,0.00
 2014-05-07 120739, 3,                 0.25,                -0.25,                  1.0,50,90.42,78.00,0.00
 2014-05-07 120750, 3,                 0.25,                -0.25,                  1.0,81,91.19,83.71,0.00
 2014-05-07 120803, 3,                 0.25,                -0.25,                  1.0,51,90.82,81.12,0.00
 2014-05-07 120814, 3,                 0.25,                -0.25,                  1.0,51,89.89,78.90,0.00
 2014-05-07 120824, 3,                 0.25,                -0.25,                  1.0,51,90.62,79.33,0.00
 2014-05-07 120834, 3,                 0.25,                -0.25,                  1.0,52,90.22,80.07,0.00
 2014-05-07 120844, 3,                 0.25,                -0.25,                  1.0,55,91.23,79.64,0.00
 2014-05-07 120855, 3,                 0.25,                -0.25,                  1.0,54,90.14,79.52,0.00
 2014-05-07 120906, 3,                 0.25,                -0.25,                  1.0,51,90.50,81.27,0.00
 2014-05-07 120916, 3,                 0.25,                -0.25,                  1.0,57,90.54,81.26,0.00
 2014-05-07 120927, 3,                 0.25,                -0.25,                  1.0,54,91.31,79.63,0.00
 2014-05-07 120937, 3,                 0.25,                -0.25,                  1.0,50,91.35,79.21,0.00
 2014-05-07 120947, 3,                 0.25,                -0.25,                  1.0,60,90.62,77.95,0.00
 2014-05-07 120959, 3,                 0.25,                -0.25,                  1.0,76,91.31,81.85,0.00
 2014-05-07 121012, 3,                 0.25,                -0.25,                  1.0,51,90.38,79.28,0.00
 2014-05-07 121022, 3,                 0.25,                -0.25,                  1.0,61,90.50,78.98,0.00
 2014-05-07 121034, 3,                 0.25,                -0.25,                  1.0,60,90.58,80.32,0.00
 2014-05-07 121045, 3,                 0.25,                -0.25,                  1.0,52,89.85,79.74,0.00
averages: ,                 0.25,                -0.25,                  1.0,58,90.61,79.99,0.00
standard deviations: ,                 0.25,                -0.25,                  1.0,11,0.45,1.35,0.00
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0.25
                          setSocialForce :	,0
                    setSocialTemperature :	,0.01
 timestamp, job ID, setInitialOpinionSplit, setSocialForce, setSocialTemperature, runtime, pct happy, pct same, tolerance
 2014-05-07 121056, 4,                 0.25,                    0,                 0.01,55,90.78,80.39,0.00
 2014-05-07 121106, 4,                 0.25,                    0,                 0.01,55,90.18,80.48,0.00
 2014-05-07 121117, 4,                 0.25,                    0,                 0.01,56,90.99,79.32,0.00
 2014-05-07 121128, 4,                 0.25,                    0,                 0.01,51,91.03,79.19,0.00
 2014-05-07 121138, 4,                 0.25,                    0,                 0.01,52,91.47,80.35,0.00
 2014-05-07 121148, 4,                 0.25,                    0,                 0.01,52,90.91,80.99,0.00
 2014-05-07 121159, 4,                 0.25,                    0,                 0.01,59,90.54,79.89,0.00
 2014-05-07 121210, 4,                 0.25,                    0,                 0.01,70,90.95,80.84,0.00
 2014-05-07 121223, 4,                 0.25,                    0,                 0.01,51,89.94,78.21,0.00
 2014-05-07 121233, 4,                 0.25,                    0,                 0.01,52,89.85,78.66,0.00
 2014-05-07 121243, 4,                 0.25,                    0,                 0.01,61,91.79,81.37,0.00
 2014-05-07 121254, 4,                 0.25,                    0,                 0.01,56,90.66,81.21,0.00
 2014-05-07 121305, 4,                 0.25,                    0,                 0.01,54,91.92,82.92,0.00
 2014-05-07 121316, 4,                 0.25,                    0,                 0.01,65,90.46,81.12,0.00
 2014-05-07 121328, 4,                 0.25,                    0,                 0.01,63,90.46,79.47,0.00
 2014-05-07 121339, 4,                 0.25,                    0,                 0.01,60,90.99,80.22,0.00
 2014-05-07 121351, 4,                 0.25,                    0,                 0.01,54,90.86,80.10,0.00
 2014-05-07 121401, 4,                 0.25,                    0,                 0.01,57,90.46,80.01,0.00
 2014-05-07 121412, 4,                 0.25,                    0,                 0.01,53,90.82,79.45,0.00
 2014-05-07 121423, 4,                 0.25,                    0,                 0.01,64,91.03,81.17,0.00
averages: ,                 0.25,                    0,                 0.01,57,90.80,80.27,0.00
standard deviations: ,                 0.25,                    0,                 0.01, 5,0.52,1.05,0.00
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0.25
                          setSocialForce :	,0
                    setSocialTemperature :	,0.1
 timestamp, job ID, setInitialOpinionSplit, setSocialForce, setSocialTemperature, runtime, pct happy, pct same, tolerance
 2014-05-07 121434, 5,                 0.25,                    0,                  0.1,52,90.78,80.11,0.00
 2014-05-07 121445, 5,                 0.25,                    0,                  0.1,59,91.15,80.35,0.00
 2014-05-07 121456, 5,                 0.25,                    0,                  0.1,51,90.42,78.73,0.00
 2014-05-07 121506, 5,                 0.25,                    0,                  0.1,60,90.70,81.29,0.00
 2014-05-07 121517, 5,                 0.25,                    0,                  0.1,55,91.03,79.68,0.00
 2014-05-07 121528, 5,                 0.25,                    0,                  0.1,51,90.22,80.30,0.00
 2014-05-07 121538, 5,                 0.25,                    0,                  0.1,51,90.86,81.35,0.00
 2014-05-07 121549, 5,                 0.25,                    0,                  0.1,56,90.62,79.68,0.00
 2014-05-07 121559, 5,                 0.25,                    0,                  0.1,52,91.75,80.34,0.00
 2014-05-07 121610, 5,                 0.25,                    0,                  0.1,66,91.15,80.87,0.00
 2014-05-07 121622, 5,                 0.25,                    0,                  0.1,67,90.58,80.63,0.00
 2014-05-07 121634, 5,                 0.25,                    0,                  0.1,60,91.31,78.76,0.00
 2014-05-07 121645, 5,                 0.25,                    0,                  0.1,74,90.91,80.83,0.00
 2014-05-07 121658, 5,                 0.25,                    0,                  0.1,63,91.23,79.37,0.00
 2014-05-07 121710, 5,                 0.25,                    0,                  0.1,59,91.15,79.24,0.00
 2014-05-07 121721, 5,                 0.25,                    0,                  0.1,77,90.38,80.85,0.00
 2014-05-07 121735, 5,                 0.25,                    0,                  0.1,58,90.74,79.55,0.00
 2014-05-07 121746, 5,                 0.25,                    0,                  0.1,62,90.42,80.38,0.00
 2014-05-07 121757, 5,                 0.25,                    0,                  0.1,52,91.43,80.55,0.00
 2014-05-07 121808, 5,                 0.25,                    0,                  0.1,55,91.63,81.85,0.00
averages: ,                 0.25,                    0,                  0.1,59,90.92,80.24,0.00
standard deviations: ,                 0.25,                    0,                  0.1, 7,0.42,0.83,0.00
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0.25
                          setSocialForce :	,0
                    setSocialTemperature :	,1.0
 timestamp, job ID, setInitialOpinionSplit, setSocialForce, setSocialTemperature, runtime, pct happy, pct same, tolerance
 2014-05-07 121818, 6,                 0.25,                    0,                  1.0,50,93.90,67.16,0.58
 2014-05-07 121828, 6,                 0.25,                    0,                  1.0,56,91.23,76.63,0.19
 2014-05-07 121839, 6,                 0.25,                    0,                  1.0,54,91.11,79.09,0.13
 2014-05-07 121849, 6,                 0.25,                    0,                  1.0,54,92.00,73.92,0.33
 2014-05-07 121900, 6,                 0.25,                    0,                  1.0,50,93.53,65.17,0.61
 2014-05-07 121910, 6,                 0.25,                    0,                  1.0,51,92.72,73.76,0.41
 2014-05-07 121920, 6,                 0.25,                    0,                  1.0,52,90.46,77.22,0.14
 2014-05-07 121930, 6,                 0.25,                    0,                  1.0,50,93.09,69.38,0.50
 2014-05-07 121940, 6,                 0.25,                    0,                  1.0,69,90.91,78.60,0.01
 2014-05-07 121952, 6,                 0.25,                    0,                  1.0,50,90.95,76.85,0.14
 2014-05-07 122002, 6,                 0.25,                    0,                  1.0,52,90.62,76.90,0.11
 2014-05-07 122013, 6,                 0.25,                    0,                  1.0,52,93.65,68.87,0.55
 2014-05-07 122023, 6,                 0.25,                    0,                  1.0,72,92.60,69.97,0.53
 2014-05-07 122035, 6,                 0.25,                    0,                  1.0,82,90.18,79.04,0.06
 2014-05-07 122049, 6,                 0.25,                    0,                  1.0,52,90.91,69.54,0.37
 2014-05-07 122059, 6,                 0.25,                    0,                  1.0,55,91.51,76.95,0.25
 2014-05-07 122110, 6,                 0.25,                    0,                  1.0,53,91.88,74.54,0.34
 2014-05-07 122120, 6,                 0.25,                    0,                  1.0,94,91.75,71.64,0.35
 2014-05-07 122135, 6,                 0.25,                    0,                  1.0,52,92.00,76.06,0.31
 2014-05-07 122145, 6,                 0.25,                    0,                  1.0,62,92.32,74.06,0.39
averages: ,                 0.25,                    0,                  1.0,58,91.87,73.77,0.31
standard deviations: ,                 0.25,                    0,                  1.0,11,1.08,4.08,0.18
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0.25
                          setSocialForce :	,0.25
                    setSocialTemperature :	,0.01
 timestamp, job ID, setInitialOpinionSplit, setSocialForce, setSocialTemperature, runtime, pct happy, pct same, tolerance
 2014-05-07 122156, 7,                 0.25,                 0.25,                 0.01,50,93.09,68.49,0.26
 2014-05-07 122206, 7,                 0.25,                 0.25,                 0.01,51,91.43,67.94,0.23
 2014-05-07 122216, 7,                 0.25,                 0.25,                 0.01,50,92.08,70.84,0.16
 2014-05-07 122227, 7,                 0.25,                 0.25,                 0.01,52,92.60,65.14,0.33
 2014-05-07 122237, 7,                 0.25,                 0.25,                 0.01,58,92.72,70.26,0.20
 2014-05-07 122248, 7,                 0.25,                 0.25,                 0.01,50,92.04,70.85,0.18
 2014-05-07 122258, 7,                 0.25,                 0.25,                 0.01,69,91.84,70.85,0.16
 2014-05-07 122310, 7,                 0.25,                 0.25,                 0.01,57,92.40,67.41,0.23
