Unhappy, Sameness, Tolerance
0.00, 49.55, 1.00
0.00, 50.24, 1.00
0.00, 50.05, 1.00
0.00, 49.93, 1.00
0.00, 49.32, 1.00
0.00, 49.75, 1.00
0.00, 49.75, 1.00
0.00, 49.79, 1.00
0.00, 50.12, 1.00
0.00, 50.01, 1.00
0.00, 49.55, 1.00
0.00, 49.71, 1.00
0.00, 49.70, 1.00
0.00, 49.72, 1.00
0.00, 49.97, 1.00
0.00, 50.13, 1.00
0.00, 49.40, 1.00
0.00, 49.15, 1.00
0.00, 49.60, 1.00
0.00, 49.81, 1.00
0.00, 49.87, 1.00
0.00, 49.71, 1.00
0.00, 49.82, 1.00
0.00, 49.77, 1.00
0.00, 49.93, 1.00
0.00, 50.11, 1.00
0.00, 50.00, 1.00
0.00, 49.94, 1.00
0.00, 49.45, 1.00
0.00, 49.23, 1.00
0.00, 48.85, 1.00
0.00, 48.68, 1.00
0.00, 49.14, 1.00
0.00, 49.27, 1.00
0.00, 49.48, 1.00
0.00, 49.99, 1.00
0.00, 50.36, 1.00
0.00, 50.27, 1.00
0.00, 50.14, 1.00
0.00, 50.27, 1.00
0.00, 50.21, 1.00
0.00, 50.14, 1.00
0.00, 49.97, 1.00
0.00, 50.06, 1.00
0.00, 50.17, 1.00
0.00, 49.99, 1.00
0.00, 49.78, 1.00
0.00, 49.74, 1.00
0.00, 49.97, 1.00
0.00, 49.70, 1.00
